Gender,Age,University,Degree_level,Degree_major,Academic_year,CGPA,Residential_status,Sports_engagement,Average_sleep,Study_satisfaction,Academic_workload ,Academic_pressure,Financial_concerns,Social_relationships,Depression,Anxiety,Isolation,Stress_relief_activities
Female,19,VDIT,Undergraduate,Data Science,1st year,6.7,Off-Campus,No Sports,7-8 hrs,5,3,3,4,3,1,1,1,"Religious Activities, Social Connections, Online Entertainment"
Female,20,VDIT,Undergraduate,Data Science,1st year,5.81,Off-Campus,No Sports,2-4 hrs,5,4,4,3,1,3,2,3,Social Connections
Male,19,VTU,Undergraduate,Data Science,1st year,8.95,Off-Campus,No Sports,7-8 hrs,5,3,5,3,3,2,2,3,Religious Activities
Female,19,VTU,Undergraduate,Data Science,1st year,6.26,Off-Campus,1-3 times,4-6 hrs,4,4,3,3,2,4,4,3,"Religious Activities, Creative Outlets, Social Connections"
Male,19,KLS,Undergraduate,Data Science,1st year,5.18,Off-Campus,1-3 times,4-6 hrs,5,4,4,5,3,5,5,4,Sports and Fitness
Female,20,VTU,Undergraduate,Data Science,1st year,8.78,Off-Campus,1-3 times,7-8 hrs,5,4,4,2,3,1,2,2,Social Connections
Female,19,KLS,Undergraduate,Data Science,1st year,6.21,Off-Campus,No Sports,4-6 hrs,4,5,5,2,2,4,4,5,"Religious Activities, Social Connections"
Male,20,VDIT,Undergraduate,Data Science,2nd year,6.5,Off-Campus,No Sports,4-6 hrs,3,5,5,3,3,4,4,3,Outdoor Activities
Male,20,VTU,Undergraduate,Computer Science,3rd year,7.87,Off-Campus,1-3 times,4-6 hrs,5,5,4,5,3,5,5,5,"Religious Activities, Online Entertainment"
Female,19,VDIT,Undergraduate,Data Science,1st year,7.56,Off-Campus,1-3 times,4-6 hrs,5,4,4,1,3,3,4,3,"Religious Activities, Creative Outlets"
Male,19,VDIT,Undergraduate,Data Science,1st year,7.18,Off-Campus,7+ times,4-6 hrs,5,5,3,5,5,4,1,3,"Religious Activities, Sports and Fitness, Social Connections, Online Entertainment, Outdoor Activities"
Male,23,VTU,Undergraduate,Data Science,2nd year,7.2,Off-Campus,1-3 times,7-8 hrs,3,3,4,1,4,3,3,2,"Religious Activities, Online Entertainment, Outdoor Activities"
Male,20,VTU,Undergraduate,Computer Science,1st year,8,Off-Campus,7+ times,2-4 hrs,1,4,5,5,1,5,5,5,Online Entertainment
Male,18,KLS,Undergraduate,Data Science,1st year,8.71,Off-Campus,4-6 times,4-6 hrs,4,3,4,4,4,3,4,4,"Sports and Fitness, Creative Outlets, Online Entertainment, Outdoor Activities"
Male,20,VTU,Undergraduate,Data Science,1st year,6.34,Off-Campus,4-6 times,7-8 hrs,5,5,5,3,5,5,3,3,"Religious Activities, Outdoor Activities"
Male,18,VTU,Undergraduate,Data Science,1st year,8.27,Off-Campus,No Sports,7-8 hrs,5,3,1,1,3,1,2,2,Sleep
Male,19,VTU,Undergraduate,Data Science,1st year,6.97,On-Campus,No Sports,4-6 hrs,2,4,1,5,3,3,3,3,"Creative Outlets, Social Connections, Online Entertainment, Outdoor Activities"
Male,18,VDIT,Undergraduate,Data Science,1st year,8.08,On-Campus,No Sports,4-6 hrs,5,4,5,2,3,4,3,4,Religious Activities
Female,19,VTU,Undergraduate,Data Science,1st year,6.61,On-Campus,No Sports,7-8 hrs,5,4,4,3,2,4,2,3,Creative Outlets
Female,17,KLS,Undergraduate,Computer Science,1st year,5.7,On-Campus,No Sports,4-6 hrs,4,5,5,5,1,5,5,5,Sleep
Male,18,VDIT,Undergraduate,Computer Science,1st year,6.4,Off-Campus,7+ times,4-6 hrs,3,3,4,5,2,4,3,4,"Religious Activities, Sports and Fitness, Social Connections"
Female,17,VDIT,Undergraduate,Computer Science,1st year,5.67,On-Campus,No Sports,4-6 hrs,4,4,4,5,3,4,4,5,Religious Activities
Female,19,KLS,Undergraduate,Data Science,1st year,6.6,Off-Campus,4-6 times,7-8 hrs,5,3,2,2,4,1,2,1,Religious Activities
Female,18,VTU,Undergraduate,Data Science,1st year,5.55,Off-Campus,No Sports,4-6 hrs,1,4,5,5,2,5,5,5,Creative Outlets
Female,19,KLS,Undergraduate,Data Science,2nd year,6.18,On-Campus,No Sports,2-4 hrs,2,4,4,1,2,3,3,4,Religious Activities
Female,19,VDIT,Undergraduate,Data Science,2nd year,8.18,Off-Campus,1-3 times,4-6 hrs,4,4,4,4,1,1,1,1,"Religious Activities, Social Connections, Online Entertainment"
Male,18,KLS,Undergraduate,Data Science,1st year,7.07,Off-Campus,No Sports,7-8 hrs,2,4,4,5,1,5,4,5,Online Entertainment
Male,18,KLS,Undergraduate,Data Science,1st year,8.36,Off-Campus,1-3 times,4-6 hrs,4,3,3,2,3,3,3,3,Online Entertainment
Male,18,VDIT,Undergraduate,Computer Science,1st year,6.86,Off-Campus,4-6 times,7-8 hrs,4,2,2,1,3,1,1,2,Online Entertainment
Male,19,VTU,Undergraduate,Computer Science,3rd year,8.33,On-Campus,1-3 times,7-8 hrs,4,4,4,3,4,2,2,2,"Religious Activities, Online Entertainment, Outdoor Activities"
Male,18,VDIT,Undergraduate,Data Science,1st year,8.88,Off-Campus,7+ times,7-8 hrs,4,4,4,4,5,3,3,1,Sports and Fitness
Male,21,VDIT,Undergraduate,Software Engineering,4th year,7.24,Off-Campus,1-3 times,4-6 hrs,3,4,5,4,3,5,5,5,"Religious Activities, Sports and Fitness, Creative Outlets, Online Entertainment"
Male,20,VTU,Undergraduate,Data Science,3rd year,7.33,Off-Campus,No Sports,7-8 hrs,4,4,3,1,1,3,3,5,Online Entertainment
Male,19,VTU,Undergraduate,Computer Science,1st year,8.69,On-Campus,1-3 times,4-6 hrs,5,4,5,5,1,3,4,5,"Sports and Fitness, Creative Outlets, Social Connections, Outdoor Activities, Sleep"
Male,20,KLS,Undergraduate,Data Science,2nd year,7.68,On-Campus,No Sports,4-6 hrs,5,3,1,5,3,1,1,2,Religious Activities
Male,21,VTU,Undergraduate,Data Science,2nd year,7.8,On-Campus,1-3 times,4-6 hrs,5,4,3,4,5,2,2,2,"Religious Activities, Social Connections, Online Entertainment, Sleep"
Male,17,KLS,Undergraduate,Information Technology,1st year,5.59,Off-Campus,7+ times,7-8 hrs,3,5,5,1,3,4,4,4,Outdoor Activities
Male,18,VDIT,Undergraduate,Information Technology,1st year,7.16,Off-Campus,7+ times,7-8 hrs,5,3,4,3,5,3,3,3,"Religious Activities, Sports and Fitness, Social Connections"
Male,18,KLS,Undergraduate,Information Technology,1st year,8.12,Off-Campus,1-3 times,4-6 hrs,5,5,3,2,1,2,4,5,"Social Connections, Online Entertainment, Sleep"
Male,22,KLS,Undergraduate,Software Engineering,4th year,7.86,Off-Campus,1-3 times,7-8 hrs,4,4,3,5,1,3,3,4,"Religious Activities, Sports and Fitness, Outdoor Activities"
Male,21,KLS,Undergraduate,Data Science,2nd year,6.58,On-Campus,4-6 times,4-6 hrs,3,4,5,3,4,1,1,1,"Religious Activities, Social Connections"
Male,20,KLS,Undergraduate,Computer Science,3rd year,5.95,Off-Campus,4-6 times,7-8 hrs,4,3,5,3,3,4,4,4,Outdoor Activities
Male,20,VTU,Undergraduate,Data Science,1st year,5.42,On-Campus,No Sports,4-6 hrs,4,4,4,5,2,3,2,4,Sleep
Male,20,KLS,Undergraduate,Data Science,2nd year,8.03,Off-Campus,4-6 times,7-8 hrs,5,2,2,1,3,1,1,1,"Religious Activities, Social Connections"
Male,21,KLS,Undergraduate,Data Science,3rd year,6.92,Off-Campus,1-3 times,7-8 hrs,3,5,4,1,3,2,2,4,"Religious Activities, Sports and Fitness"
Male,21,VDIT,Undergraduate,Computer Science,3rd year,8.59,Off-Campus,4-6 times,7-8 hrs,4,4,4,2,4,2,2,2,Outdoor Activities
Male,20,KLS,Undergraduate,Computer Science,3rd year,7.38,Off-Campus,1-3 times,4-6 hrs,3,4,3,4,1,1,2,1,"Religious Activities, Social Connections, Online Entertainment"
Male,20,VDIT,Undergraduate,Computer Science,3rd year,5.61,Off-Campus,7+ times,7-8 hrs,5,3,4,3,2,4,4,4,"Religious Activities, Sports and Fitness, Social Connections, Online Entertainment, Outdoor Activities, Sleep"
Female,19,VTU,Undergraduate,Computer Science,2nd year,8.19,Off-Campus,No Sports,7-8 hrs,4,3,3,3,3,4,4,3,"Religious Activities, Social Connections, Sleep"
Male,20,KLS,Undergraduate,Computer Science,3rd year,7.63,Off-Campus,1-3 times,4-6 hrs,3,4,4,5,3,5,5,5,"Religious Activities, Sports and Fitness, Creative Outlets, Online Entertainment"
Male,20,KLS,Undergraduate,Computer Science,3rd year,7.48,On-Campus,No Sports,7-8 hrs,3,3,4,5,3,4,4,4,Social Connections
Male,20,KLS,Undergraduate,Computer Science,3rd year,8.35,Off-Campus,1-3 times,4-6 hrs,4,5,5,1,5,3,4,1,"Religious Activities, Sports and Fitness, Social Connections, Sleep"
Male,20,VDIT,Undergraduate,Computer Science,3rd year,8.91,On-Campus,No Sports,4-6 hrs,4,5,5,3,3,2,2,3,"Religious Activities, Social Connections, Online Entertainment, Sleep"
Male,20,VDIT,Undergraduate,Computer Science,3rd year,5.41,On-Campus,7+ times,4-6 hrs,4,5,5,5,4,3,4,2,"Social Connections, Sleep"
Male,19,VDIT,Undergraduate,Computer Science,3rd year,8.91,Off-Campus,4-6 times,7-8 hrs,3,2,4,4,4,1,1,3,Outdoor Activities
Male,22,VDIT,Undergraduate,Computer Science,3rd year,6.33,Off-Campus,No Sports,4-6 hrs,4,4,5,4,3,4,4,4,Religious Activities
Male,20,KLS,Undergraduate,Computer Science,3rd year,7.13,Off-Campus,7+ times,7-8 hrs,4,2,3,4,2,3,3,4,"Religious Activities, Sports and Fitness, Sleep"
Female,20,KLS,Undergraduate,Computer Science,3rd year,8.76,Off-Campus,No Sports,4-6 hrs,5,4,5,4,1,4,5,5,Online Entertainment
Female,19,KLS,Undergraduate,Computer Science,3rd year,5.6,On-Campus,No Sports,4-6 hrs,3,5,5,3,3,5,5,3,Sleep
Male,21,VTU,Undergraduate,Data Science,1st year,5.92,Off-Campus,7+ times,7-8 hrs,5,3,3,2,4,1,1,2,"Religious Activities, Social Connections"
Male,26,KLS,Undergraduate,Data Science,4th year,8.33,Off-Campus,1-3 times,7-8 hrs,5,5,1,5,1,5,5,3,"Creative Outlets, Social Connections, Online Entertainment"
Female,19,VTU,Undergraduate,Computer Science,3rd year,8.99,Off-Campus,No Sports,4-6 hrs,3,5,5,5,3,4,3,3,"Social Connections, Sleep"
Male,22,VDIT,Undergraduate,Information Technology,4th year,5.64,Off-Campus,4-6 times,4-6 hrs,5,3,3,3,4,2,2,2,"Social Connections, Outdoor Activities"
Male,22,KLS,Undergraduate,Information Technology,4th year,8.52,Off-Campus,No Sports,4-6 hrs,5,4,2,5,1,5,5,5,"Religious Activities, Sports and Fitness, Online Entertainment"
Female,21,VTU,Undergraduate,Information Technology,4th year,5.91,Off-Campus,No Sports,7-8 hrs,3,3,3,3,3,5,5,5,Sleep
Female,21,VDIT,Undergraduate,Information Technology,4th year,7.47,Off-Campus,No Sports,7-8 hrs,3,4,4,3,4,4,4,2,"Online Entertainment, Sleep"
Male,22,VDIT,Undergraduate,Information Technology,4th year,6.35,Off-Campus,No Sports,7-8 hrs,1,2,2,1,2,2,2,5,Religious Activities
Male,22,KLS,Undergraduate,Information Technology,4th year,6.93,On-Campus,No Sports,7-8 hrs,4,3,1,4,4,2,3,1,"Online Entertainment, Outdoor Activities, Sleep"
Female,22,VTU,Undergraduate,Software Engineering,4th year,7.84,Off-Campus,No Sports,2-4 hrs,5,5,5,5,1,5,5,5,"Religious Activities, Sleep"
Male,21,VTU,Undergraduate,Data Science,2nd year,7.93,Off-Campus,No Sports,4-6 hrs,5,4,2,4,3,1,2,1,"Religious Activities, Sports and Fitness, Social Connections, Online Entertainment, Outdoor Activities, Sleep"
Male,22,VTU,Undergraduate,Data Science,2nd year,6.82,Off-Campus,No Sports,4-6 hrs,3,3,3,3,2,3,4,4,Sleep
Female,19,VTU,Undergraduate,Data Science,2nd year,6.63,On-Campus,4-6 times,4-6 hrs,4,4,4,3,4,2,2,1,Sports and Fitness
Female,21,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,8.99,Off-Campus,,,,,,,,,,,
Female,22,VDIT,Undergraduate,Computer Science,1st year,5.82,On-Campus,,,,,,,,,,,
Female,21,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,5.25,On-Campus,,,,,,,,,,,
Female,21,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,6.51,On-Campus,,,,,,,,,,,
Female,22,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,5.88,On-Campus,,,,,,,,,,,
Female,21,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,8.87,Off-Campus,,,,,,,,,,,
Female,22,KLS,Undergraduate,Data SCience,1st year,5.15,Off-Campus,,,,,,,,,,,
Male,22,VDIT,Undergraduate,Computer Science,4th year,5.45,On-Campus,,,,,,,,,,,
Male,19,KLS,Undergraduate,Computer Science,3rd year,5.61,Off-Campus,,,,,,,,,,,
Male,22,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,5.71,On-Campus,,,,,,,,,,,
Male,22,VDIT,Undergraduate,Computer Science,2nd year,7.24,Off-Campus,,,,,,,,,,,
Male,20,VDIT,Undergraduate,Data SCience,4th year,6.23,Off-Campus,,,,,,,,,,,
Male,22,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,8.83,Off-Campus,,,,,,,,,,,
Male,21,VTU,Undergraduate,Data SCience,4th year,8.78,On-Campus,,,,,,,,,,,
Male,19,KLS,Undergraduate,Data SCience,2nd year,5.93,On-Campus,,,,,,,,,,,
Male,19,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,6.6,Off-Campus,,,,,,,,,,,
Male,19,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,5.11,On-Campus,,,,,,,,,,,
Male,20,KLS,Undergraduate,Computer Science,2nd year,6.76,On-Campus,,,,,,,,,,,
Male,20,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,6.45,Off-Campus,,,,,,,,,,,
Male,20,VDIT,Undergraduate,Computer Science,1st year,5.36,On-Campus,,,,,,,,,,,
Male,22,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,7.36,On-Campus,,,,,,,,,,,
Male,22,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,6.36,On-Campus,,,,,,,,,,,
Female,21,VDIT,Undergraduate,Computer Science,2nd year,5.53,On-Campus,,,,,,,,,,,
Female,19,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,8.16,On-Campus,,,,,,,,,,,
Male,19,KLS,Undergraduate,Data SCience,4th year,8.37,On-Campus,,,,,,,,,,,
Male,22,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,5.95,Off-Campus,,,,,,,,,,,
Male,19,KLS,Undergraduate,Data SCience,4th year,6.27,Off-Campus,,,,,,,,,,,
Male,21,KLS,Undergraduate,Data SCience,3rd year,5.39,On-Campus,,,,,,,,,,,
Female,19,KLS,Undergraduate,Computer Science,2nd year,8.86,On-Campus,,,,,,,,,,,
Male,19,VDIT,Undergraduate,Computer Science,4th year,5.9,On-Campus,,,,,,,,,,,
Male,21,VTU,Undergraduate,Computer Science,1st year,7.24,Off-Campus,,,,,,,,,,,
Male,22,VDIT,Undergraduate,Computer Science,2nd year,8.36,Off-Campus,,,,,,,,,,,
Female,22,VDIT,Undergraduate,Data SCience,2nd year,6.53,Off-Campus,,,,,,,,,,,
Male,20,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,6.05,Off-Campus,,,,,,,,,,,
Male,21,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,7.45,Off-Campus,,,,,,,,,,,
Male,21,VDIT,Undergraduate,Data SCience,2nd year,8.9,On-Campus,,,,,,,,,,,
Male,21,KLS,Undergraduate,Data SCience,2nd year,6.21,On-Campus,,,,,,,,,,,
Female,19,VDIT,Undergraduate,Computer Science,4th year,7.04,Off-Campus,,,,,,,,,,,
Female,20,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,7.92,On-Campus,,,,,,,,,,,
Male,22,VDIT,Undergraduate,Computer Science,1st year,6.12,Off-Campus,,,,,,,,,,,
Male,20,VTU,Undergraduate,Computer Science,1st year,5.81,Off-Campus,,,,,,,,,,,
Female,22,VTU,Undergraduate,Data SCience,1st year,7.51,Off-Campus,,,,,,,,,,,
Male,19,VDIT,Undergraduate,Computer Science,3rd year,5.95,Off-Campus,,,,,,,,,,,
Male,19,VTU,Undergraduate,Computer Science,1st year,7.44,Off-Campus,,,,,,,,,,,
Male,21,VTU,Undergraduate,Computer Science,3rd year,8.83,On-Campus,,,,,,,,,,,
Male,19,KLS,Undergraduate,Data SCience,3rd year,8.17,On-Campus,,,,,,,,,,,
Male,19,VTU,Undergraduate,Computer Science,2nd year,6.09,Off-Campus,,,,,,,,,,,
Female,19,KLS,Undergraduate,Computer Science,2nd year,6.76,On-Campus,,,,,,,,,,,
Male,21,KLS,Undergraduate,Data SCience,3rd year,5.76,Off-Campus,,,,,,,,,,,
Male,20,VTU,Undergraduate,Data SCience,3rd year,6.29,Off-Campus,,,,,,,,,,,
Female,20,VDIT,Undergraduate,Data SCience,4th year,7.59,On-Campus,,,,,,,,,,,
Male,19,VTU,Undergraduate,Data SCience,2nd year,6.18,On-Campus,,,,,,,,,,,
Female,22,VTU,Undergraduate,Data SCience,1st year,5.28,On-Campus,,,,,,,,,,,
Female,22,KLS,Undergraduate,Computer Science,3rd year,7.74,On-Campus,,,,,,,,,,,
"randbetween(19,22)",20,VDIT,Undergraduate,Data SCience,2nd year,5.22,On-Campus,,,,,,,,,,,
Male,22,KLS,Undergraduate,Computer Science,4th year,6.45,Off-Campus,,,,,,,,,,,
Male,22,VTU,Undergraduate,Computer Science,3rd year,8.15,Off-Campus,,,,,,,,,,,
Female,22,KLS,Undergraduate,Computer Science,2nd year,8.97,Off-Campus,,,,,,,,,,,
Female,22,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,6.58,Off-Campus,,,,,,,,,,,
Female,22,VDIT,Undergraduate,Computer Science,4th year,7.56,On-Campus,,,,,,,,,,,
Male,21,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,5.97,On-Campus,,,,,,,,,,,
Female,22,VTU,Undergraduate,Computer Science,4th year,7.55,On-Campus,,,,,,,,,,,
Female,20,VDIT,Undergraduate,Data SCience,3rd year,5.45,On-Campus,,,,,,,,,,,
Female,19,VDIT,Undergraduate,Data SCience,3rd year,6.29,On-Campus,,,,,,,,,,,
Female,21,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,7,On-Campus,,,,,,,,,,,
Male,21,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,5.36,On-Campus,,,,,,,,,,,
Female,22,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,7.43,Off-Campus,,,,,,,,,,,
Male,19,KLS,Undergraduate,Data SCience,3rd year,6.48,Off-Campus,,,,,,,,,,,
Female,22,VTU,Undergraduate,Computer Science,4th year,6.46,On-Campus,,,,,,,,,,,
Male,21,VDIT,Undergraduate,Data SCience,2nd year,8.1,Off-Campus,,,,,,,,,,,
Female,21,VTU,Undergraduate,Computer Science,2nd year,8.73,Off-Campus,,,,,,,,,,,
Male,22,VTU,Undergraduate,Computer Science,1st year,7.38,On-Campus,,,,,,,,,,,
Female,19,VTU,Undergraduate,Data SCience,2nd year,7.77,Off-Campus,,,,,,,,,,,
Male,19,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,7.1,On-Campus,,,,,,,,,,,
Male,22,VTU,Undergraduate,Computer Science,4th year,6.4,Off-Campus,,,,,,,,,,,
Male,22,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,6.59,On-Campus,,,,,,,,,,,
Male,21,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,8.72,On-Campus,,,,,,,,,,,
Female,19,KLS,Undergraduate,Data SCience,4th year,8.74,On-Campus,,,,,,,,,,,
Male,19,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,7.48,On-Campus,,,,,,,,,,,
Male,22,KLS,Undergraduate,Computer Science,3rd year,7.91,Off-Campus,,,,,,,,,,,
Male,21,VTU,Undergraduate,Data SCience,3rd year,8.39,Off-Campus,,,,,,,,,,,
Male,19,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,6.98,Off-Campus,,,,,,,,,,,
Female,22,KLS,Undergraduate,Data SCience,2nd year,8.85,On-Campus,,,,,,,,,,,
Male,20,VDIT,Undergraduate,Computer Science,4th year,7.46,On-Campus,,,,,,,,,,,
Male,20,KLS,Undergraduate,Computer Science,3rd year,5.15,On-Campus,,,,,,,,,,,
Male,20,KLS,Undergraduate,Data SCience,3rd year,7.67,On-Campus,,,,,,,,,,,
Male,20,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,8.57,Off-Campus,,,,,,,,,,,
Male,21,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,7.47,Off-Campus,,,,,,,,,,,
Female,19,VTU,Undergraduate,Computer Science,2nd year,6.35,On-Campus,,,,,,,,,,,
Female,19,KLS,Undergraduate,Data SCience,1st year,7.7,Off-Campus,,,,,,,,,,,
Female,22,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,5.65,On-Campus,,,,,,,,,,,
Male,19,VTU,Undergraduate,Data SCience,3rd year,7.22,On-Campus,,,,,,,,,,,
Male,20,VDIT,Undergraduate,Data SCience,2nd year,6.99,Off-Campus,,,,,,,,,,,
Female,19,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,5.2,Off-Campus,,,,,,,,,,,
Male,19,KLS,Undergraduate,Computer Science,3rd year,8.4,Off-Campus,,,,,,,,,,,
Male,20,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,7.81,On-Campus,,,,,,,,,,,
Male,20,KLS,Undergraduate,Computer Science,3rd year,8.24,On-Campus,,,,,,,,,,,
Male,20,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,5.89,Off-Campus,,,,,,,,,,,
Female,20,VTU,Undergraduate,Computer Science,1st year,5.91,On-Campus,,,,,,,,,,,
Female,22,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,6.06,On-Campus,,,,,,,,,,,
Female,21,KLS,Undergraduate,Data SCience,1st year,6.54,On-Campus,,,,,,,,,,,
Male,20,KLS,Undergraduate,Computer Science,4th year,6.73,Off-Campus,,,,,,,,,,,
Male,20,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,6.14,Off-Campus,,,,,,,,,,,
Female,21,VDIT,Undergraduate,Data SCience,1st year,6.93,Off-Campus,,,,,,,,,,,
Female,20,VTU,Undergraduate,Computer Science,2nd year,5.16,On-Campus,,,,,,,,,,,
Male,20,VDIT,Undergraduate,Computer Science,2nd year,6.64,On-Campus,,,,,,,,,,,
Male,22,KLS,Undergraduate,Computer Science,2nd year,5.58,On-Campus,,,,,,,,,,,
Female,20,VDIT,Undergraduate,Computer Science,3rd year,5.5,On-Campus,,,,,,,,,,,
Male,22,VDIT,Undergraduate,Computer Science,1st year,8,Off-Campus,,,,,,,,,,,
Female,19,KLS,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,7.49,Off-Campus,,,,,,,,,,,
Female,19,KLS,Undergraduate,Computer Science,1st year,8.44,Off-Campus,,,,,,,,,,,
Male,19,VDIT,Undergraduate,Computer Science,1st year,6.47,Off-Campus,,,,,,,,,,,
Male,21,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,8.2,On-Campus,,,,,,,,,,,
Male,19,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,8.5,On-Campus,,,,,,,,,,,
Male,22,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,2nd year,7.83,On-Campus,,,,,,,,,,,
Female,19,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,6.38,Off-Campus,,,,,,,,,,,
Female,21,KLS,Undergraduate,Data SCience,1st year,8.06,Off-Campus,,,,,,,,,,,
Male,22,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,1st year,5.94,On-Campus,,,,,,,,,,,
Female,20,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,7.31,On-Campus,,,,,,,,,,,
Female,21,KLS,Undergraduate,Computer Science,1st year,7.06,Off-Campus,,,,,,,,,,,
Male,20,VDIT,Undergraduate,Artificial Intelligenceand Machine Learning,4th year,5.12,On-Campus,,,,,,,,,,,
Female,19,KLS,Undergraduate,Data SCience,1st year,5.12,On-Campus,,,,,,,,,,,
Female,21,VTU,Undergraduate,Artificial Intelligenceand Machine Learning,3rd year,6.05,On-Campus,,,,,,,,,,,
