Gender,Age,University,Degree_level,Degree_major,Residential_status,Sports_engagement,Average_sleep,Study_satisfaction,Academic_workload ,Academic_pressure,Financial_concerns,Social_relationships,Depression,Anxiety,Isolation,Stress_relief_activities,Hours Studied,Previous Scores,Extracurricular Activities,Performance Index,Sample Question Papers Practiced,CGPA,Semester,AttendaceRate,PartTimeJob,Screen_Time,Caffeine_Intake,Sleep_Quality,Mothers_Job,Fathers_job,Reason_to_Join_Domain,traveltime,studytime,Backlogs,Financial Condition,Internet Type,Network Type,Device,Adaptivity Level,Parental_Involvement,Access_to_Resources,Motivation_Level,Internet_Access,Family_Income,Peer_Influence,Parental_Education_Level,Distance_from_Home
Male,21,VTU,Undergraduate,Data Science,Off-Campus,No Sports,4-6 hrs,3,3,4,5,3,5,4,5,"Gaming , Sleep ",6,47,No,33,2,7.43,1st sem,0.7471,Yes,2.3,1,6,teacher,other,course,2,2,0,Mid,Wifi,4G,Mobile,Low,Medium,Medium,Medium,Yes,Medium,Positive,Postgraduate,Near
Female,20,VTU,Undergraduate,Data Science,Off-Campus,No Sports,4-6 hrs,3,3,3,3,2,4,3,5,Sleep,5,79,No,68,8,8.77,1st sem,0.7866,Yes,2.3,4,5,other,other,home,1,3,0,Poor,Mobile Data,3G,Mobile,Moderate,Medium,High,Medium,Yes,Low,Neutral,Postgraduate,Near
Female,21,VDIT,Undergraduate,Data Science,Off-Campus,No Sports,7-8 hrs,5,3,3,4,3,1,1,1,Sleep,2,72,No,43,3,7.76,1st sem,0.9191,Yes,2.8,2,5,health,other,home,1,1,0,Poor,Wifi,4G,Mobile,Low,Medium,Medium,Medium,Yes,Medium,Positive,High School,Near
Female,21,VDIT,Undergraduate,Data Science,Off-Campus,No Sports,2-4 hrs,5,4,4,3,1,3,2,3,Sleep,8,73,Yes,67,4,9.53,1st sem,0.7022,Yes,3.8,3,5,services,services,reputation,1,3,0,Poor,Mobile Data,4G,Computer,Low,Medium,Low,Low,Yes,High,Positive,College,Near
Male,21,VTU,Undergraduate,Data Science,Off-Campus,No Sports,7-8 hrs,5,3,5,3,3,2,2,3,"Gaming , Sleep ",6,83,Yes,70,2,9.31,1st sem,0.8855,No,1.7,3,10,other,other,reputation,3,2,0,Mid,Wifi,4G,Mobile,Low,Low,Medium,Medium,Yes,Low,Neutral,High School,Near
Female,20,VTU,Undergraduate,Data Science,Off-Campus,1-3 times,4-6 hrs,4,4,3,3,2,4,4,3,Nothing ,2,54,Yes,30,9,9.12,1st sem,0.711,Yes,1.4,0,5,services,services,course,1,1,3,Mid,Wifi,4G,Mobile,Low,Medium,Medium,Low,Yes,Low,Positive,College,Moderate
Male,23,KLS,Undergraduate,Data Science,Off-Campus,1-3 times,4-6 hrs,5,4,4,5,3,5,5,4,"Religious Activities, Social Connections, Online Entertainment",5,75,No,63,0,5.64,1st sem,0.6769,Yes,1.6,0,4,health,other,home,1,1,0,Mid,Wifi,4G,Mobile,Moderate,Medium,High,Medium,Yes,Medium,Positive,College,Near
Female,19,VTU,Undergraduate,Data Science,Off-Campus,1-3 times,7-8 hrs,5,4,4,2,3,1,2,2,Social Connections ,1,99,Yes,71,3,9.06,1st sem,0.9793,Yes,3.7,3,5,teacher,other,reputation,1,2,0,Rich,Wifi,4G,Mobile,High,Medium,Medium,High,Yes,High,Negative,High School,Moderate
Female,22,KLS,Undergraduate,Data Science,Off-Campus,No Sports,4-6 hrs,4,5,5,2,2,4,4,5,Sleep,6,96,No,85,0,6.17,1st sem,0.5922,No,2.9,1,8,health,health,other,1,1,0,Mid,Mobile Data,4G,Mobile,Low,Medium,High,Medium,Yes,Medium,Neutral,High School,Near
Male,23,VDIT,Undergraduate,Data Science,Off-Campus,No Sports,4-6 hrs,3,5,5,3,3,4,4,3,"Gaming , Online Entertainment ",9,74,Yes,73,6,6.61,1st sem,0.5452,No,1.9,2,10,teacher,other,course,1,2,0,Mid,Mobile Data,3G,Mobile,Low,Medium,High,Low,Yes,Medium,Negative,College,Moderate
Female,24,VDIT,Undergraduate,Data Science,Off-Campus,1-3 times,4-6 hrs,5,4,4,1,3,3,4,3,"Religious Activities, Social Connections, Online Entertainment",1,85,No,57,6,7,1st sem,0.8855,Yes,3.4,0,1,other,other,reputation,2,2,0,Mid,Mobile Data,3G,Mobile,Moderate,High,Medium,High,Yes,Low,Neutral,High School,Moderate
Male,23,VDIT,Undergraduate,Data Science,Off-Campus,7+ times,4-6 hrs,5,5,3,5,5,4,1,3,"Religious Activities, Social Connections, Online Entertainment",3,61,No,35,3,5.4,1st sem,0.5341,Yes,3.6,1,10,services,health,course,1,3,0,Mid,Wifi,4G,Mobile,Moderate,Low,High,Medium,Yes,Low,Positive,High School,Near
Male,21,VTU,Undergraduate,Data Science,Off-Campus,1-3 times,7-8 hrs,3,3,4,1,4,3,3,2,Social Connections ,7,62,Yes,49,4,8.83,1st sem,0.9185,Yes,3.5,4,5,services,services,home,1,1,0,Mid,Mobile Data,4G,Mobile,Moderate,High,Low,High,Yes,High,Positive,Postgraduate,Far
Male,23,VTU,Undergraduate,Computer Science,Off-Campus,7+ times,2-4 hrs,1,4,5,5,1,5,5,5,"Religious Activities, Sports and Fitness, Social Connections, Online Entertainment, Outdoor Activities",4,79,No,66,9,5.92,1st sem,0.7186,No,3.8,0,3,other,other,home,1,1,0,Mid,Mobile Data,4G,Mobile,Moderate,Low,Medium,Medium,Yes,High,Negative,High School,Moderate
Male,21,KLS,Undergraduate,Data Science,Off-Campus,4-6 times,4-6 hrs,4,3,4,4,4,3,4,4,Sports and Fitness ,9,84,Yes,83,6,7.27,1st sem,0.9578,No,1.8,1,3,health,services,other,1,1,0,Mid,Wifi,4G,Computer,Moderate,High,High,Medium,Yes,High,Neutral,College,Moderate
Male,19,VTU,Undergraduate,Data Science,Off-Campus,4-6 times,7-8 hrs,5,5,5,3,5,5,3,3,Sleep,3,94,Yes,74,5,8.79,1st sem,0.8608,No,3.3,1,3,services,other,home,1,2,0,Mid,Mobile Data,4G,Mobile,Moderate,Medium,Medium,Medium,Yes,Low,Neutral,High School,Moderate
Male,24,VTU,Undergraduate,Data Science,Off-Campus,No Sports,7-8 hrs,5,3,1,1,3,1,2,2,Sleep,5,90,Yes,74,3,9.32,1st sem,0.8052,Yes,2.4,2,7,teacher,teacher,home,1,2,0,Mid,Wifi,4G,Mobile,Moderate,High,High,Low,Yes,Low,Neutral,College,Near
Male,20,VTU,Undergraduate,Data Science,On-Campus,No Sports,4-6 hrs,2,4,1,5,3,3,3,3,"Religious Activities, Sports and Fitness, Social Connections, Online Entertainment, Outdoor Activities",3,61,Yes,39,3,6.73,1st sem,0.9747,No,3.5,2,5,health,services,home,1,2,0,Mid,Mobile Data,3G,Mobile,Moderate,Low,Medium,Medium,Yes,High,Positive,High School,Near
Male,20,VDIT,Undergraduate,Data Science,On-Campus,No Sports,4-6 hrs,5,4,5,2,3,4,3,4,Religious Activities,7,44,Yes,36,1,6.07,1st sem,0.6983,Yes,3.2,4,7,services,services,reputation,2,2,0,Mid,Mobile Data,4G,Mobile,Low,Medium,High,Medium,Yes,High,Negative,College,Near
Female,23,VTU,Undergraduate,Data Science,On-Campus,No Sports,7-8 hrs,5,4,4,3,2,4,2,3,Nothing ,5,70,Yes,58,9,9.66,1st sem,0.977,Yes,3.3,1,3,teacher,at_home,course,1,2,0,Mid,Mobile Data,4G,Mobile,Moderate,Medium,Medium,Medium,Yes,Medium,Positive,High School,Near
Female,23,KLS,Undergraduate,Computer Science,On-Campus,No Sports,4-6 hrs,4,5,5,5,1,5,5,5,Sleep,9,52,Yes,47,1,9.37,1st sem,0.5675,Yes,3,5,9,other,other,course,1,2,0,Mid,Wifi,4G,Mobile,Moderate,High,Medium,Medium,Yes,Medium,Neutral,College,
Male,21,VDIT,Undergraduate,Computer Science,Off-Campus,7+ times,4-6 hrs,3,3,4,5,2,4,3,4,"Religious Activities, Social Connections, Online Entertainment",7,67,Yes,60,3,9.33,1st sem,0.7419,No,1.5,1,6,other,other,home,1,1,0,Poor,Mobile Data,3G,Mobile,Low,High,Medium,Medium,Yes,Medium,Positive,College,Moderate
Female,23,VDIT,Undergraduate,Computer Science,On-Campus,No Sports,4-6 hrs,4,4,4,5,3,4,4,5,Nothing ,2,97,Yes,74,4,5.62,1st sem,0.635,Yes,2.6,2,3,other,other,other,2,1,0,Mid,Wifi,3G,Mobile,Moderate,Low,Medium,Low,Yes,Low,Negative,High School,Near
Female,24,KLS,Undergraduate,Data Science,Off-Campus,4-6 times,7-8 hrs,5,3,2,2,4,1,2,1,Nothing ,4,59,No,42,3,6.06,1st sem,0.7699,No,4,5,4,teacher,services,home,1,3,0,Mid,Mobile Data,4G,Mobile,Moderate,Medium,Low,Low,Yes,Medium,Positive,High School,Far
Female,20,VTU,Undergraduate,Data Science,Off-Campus,No Sports,4-6 hrs,1,4,5,5,2,5,5,5,"Religious Activities, Sports and Fitness, Social Connections, Online Entertainment, Outdoor Activities",9,72,No,68,2,6.48,1st sem,0.581,No,3.8,0,5,other,teacher,reputation,2,3,0,Poor,Mobile Data,3G,Mobile,High,Medium,Medium,Low,Yes,Low,Neutral,Postgraduate,Near
Female,21,KLS,Undergraduate,Data Science,On-Campus,No Sports,2-4 hrs,2,4,4,1,2,3,3,4,Social Connections ,2,55,Yes,32,1,8.01,1st sem,0.9208,Yes,1.1,0,10,services,health,course,1,3,0,Poor,Mobile Data,4G,Mobile,Low,Low,Medium,Medium,Yes,Low,Positive,High School,Near
Female,21,VDIT,Undergraduate,Data Science,Off-Campus,1-3 times,4-6 hrs,4,4,4,4,1,1,1,1,Sports and Fitness ,9,68,No,64,3,8.91,1st sem,0.9232,Yes,1.5,3,3,at_home,other,reputation,1,1,0,Mid,Wifi,3G,Mobile,Low,Low,Medium,Low,Yes,Medium,Negative,High School,Near
Male,19,KLS,Undergraduate,Data Science,Off-Campus,No Sports,7-8 hrs,2,4,4,5,1,5,4,5,Sleep,5,62,No,45,4,5.86,1st sem,0.9776,No,1.4,2,6,other,other,home,2,2,0,Mid,Wifi,4G,Computer,Moderate,High,Medium,Low,Yes,High,Neutral,College,Near
Male,21,KLS,Undergraduate,Data Science,Off-Campus,1-3 times,4-6 hrs,4,3,3,2,3,3,3,3,Sleep,2,63,Yes,39,0,7.99,1st sem,0.5773,Yes,3.2,3,5,teacher,other,home,1,1,0,Mid,Wifi,4G,Mobile,Moderate,Medium,Medium,Low,Yes,Medium,Neutral,College,Far
Male,23,VDIT,Undergraduate,Computer Science,Off-Campus,4-6 times,7-8 hrs,4,2,2,1,3,1,1,2,Social Connections ,4,73,Yes,58,0,7.58,1st sem,0.8117,No,3.5,5,7,services,teacher,course,1,2,0,Poor,Mobile Data,3G,Mobile,Low,Low,High,Medium,Yes,Medium,Positive,High School,Moderate
Male,20,VTU,Undergraduate,Computer Science,On-Campus,1-3 times,7-8 hrs,4,4,4,3,4,2,2,2,Sleep,7,46,No,36,5,8.21,1st sem,0.7371,Yes,1.6,2,8,services,services,course,1,1,0,Mid,Mobile Data,4G,Mobile,Moderate,Medium,High,Medium,Yes,Medium,Negative,College,Near
Male,23,VDIT,Undergraduate,Data Science,Off-Campus,7+ times,7-8 hrs,4,4,4,4,5,3,3,1,"Religious Activities, Social Connections, Online Entertainment",8,77,Yes,71,4,8.14,1st sem,0.6722,No,2.5,4,8,other,at_home,course,2,2,1,Mid,Wifi,3G,Computer,Low,Medium,Medium,Low,Yes,Medium,Positive,Postgraduate,Far
Male,19,VDIT,Undergraduate,Software Engineering,Off-Campus,1-3 times,4-6 hrs,3,4,5,4,3,5,5,5,Sleep,3,76,Yes,54,3,5.83,1st sem,0.6758,No,3.5,1,8,other,other,course,1,2,0,Mid,Wifi,4G,Computer,Moderate,Medium,Medium,Medium,Yes,Medium,Positive,High School,Moderate
Male,19,VTU,Undergraduate,Data Science,Off-Campus,No Sports,7-8 hrs,4,4,3,1,1,3,3,5,Religious Activities,1,43,Yes,17,0,7.83,1st sem,0.7064,No,3.2,4,1,other,services,home,1,2,0,Poor,Mobile Data,4G,Mobile,Moderate,Medium,Medium,Medium,Yes,Medium,Positive,College,Near
Male,19,VTU,Undergraduate,Computer Science,On-Campus,1-3 times,4-6 hrs,5,4,5,5,1,3,4,5,Sleep,4,73,No,54,6,8.42,1st sem,0.8525,No,2.6,5,10,health,services,reputation,1,4,0,Mid,Mobile Data,3G,Mobile,Moderate,Medium,Low,Medium,Yes,Low,Positive,High School,Moderate
Male,23,KLS,Undergraduate,Data Science,On-Campus,No Sports,4-6 hrs,5,3,1,5,3,1,1,2,Sleep,2,81,Yes,58,3,9.51,1st sem,0.7991,Yes,2.8,2,5,teacher,other,home,1,2,0,Mid,Mobile Data,4G,Mobile,Moderate,Low,Medium,Low,Yes,Low,Positive,High School,Moderate
Male,21,VTU,Undergraduate,Data Science,On-Campus,1-3 times,4-6 hrs,5,4,3,4,5,2,2,2,Sleep,8,61,No,53,2,9.47,1st sem,0.7298,Yes,2.5,5,8,services,teacher,other,1,2,0,Mid,Wifi,3G,Computer,Low,Medium,Medium,Medium,Yes,Medium,Neutral,High School,Near
Male,20,KLS,Undergraduate,Information Technology,Off-Campus,7+ times,7-8 hrs,3,5,5,1,3,4,4,4,Religious Activities,4,44,Yes,27,6,7.63,1st sem,0.538,No,1.9,1,4,services,services,course,3,2,0,Mid,Wifi,4G,Mobile,Low,Low,Medium,Low,Yes,Medium,Positive,College,Moderate
Male,20,VDIT,Undergraduate,Information Technology,Off-Campus,7+ times,7-8 hrs,5,3,4,3,5,3,3,3,Religious Activities,2,89,Yes,65,1,8.97,1st sem,0.5389,No,2.7,0,7,health,other,other,1,2,0,Mid,Mobile Data,4G,Mobile,Moderate,High,Medium,Medium,Yes,Medium,Neutral,College,Near
Male,21,KLS,Undergraduate,Information Technology,Off-Campus,1-3 times,4-6 hrs,5,5,3,2,1,2,4,5,Nothing ,6,81,No,75,9,6.77,1st sem,0.5012,Yes,3.1,0,9,health,health,other,2,1,0,Mid,Mobile Data,3G,Mobile,Moderate,Low,Medium,Medium,Yes,Medium,Positive,High School,Near
Male,20,KLS,Undergraduate,Software Engineering,Off-Campus,1-3 times,7-8 hrs,4,4,3,5,1,3,3,4,"Religious Activities, Sports and Fitness, Social Connections, Online Entertainment, Outdoor Activities",6,62,Yes,52,0,9.28,1st sem,0.9838,Yes,3.6,5,9,services,services,course,1,1,0,Poor,Mobile Data,4G,Mobile,Moderate,High,Low,Medium,Yes,Medium,Neutral,High School,Near
Male,19,KLS,Undergraduate,Data Science,On-Campus,4-6 times,4-6 hrs,3,4,5,3,4,1,1,1,"Religious Activities, Sports and Fitness, Social Connections, Online Entertainment, Outdoor Activities",4,93,No,78,3,5.93,1st sem,0.5026,Yes,2.9,3,6,other,other,other,1,1,0,Poor,Mobile Data,4G,Mobile,Low,Medium,High,Low,Yes,High,Neutral,Postgraduate,Far
Male,20,KLS,Undergraduate,Computer Science,Off-Campus,4-6 times,7-8 hrs,4,3,5,3,3,4,4,4,"Gaming , Sleep ",6,99,No,91,7,7.33,1st sem,0.5515,Yes,3.3,2,3,other,other,other,1,2,0,Mid,Mobile Data,4G,Mobile,Moderate,Medium,High,Medium,Yes,Low,Positive,College,Moderate
Male,20,VTU,Undergraduate,Data Science,On-Campus,No Sports,4-6 hrs,4,4,4,5,2,3,2,4,Social Connections ,2,54,Yes,33,5,6.06,1st sem,0.6573,Yes,1.5,2,5,services,services,reputation,1,2,0,Mid,Mobile Data,4G,Mobile,Low,Medium,High,Low,No,Medium,Neutral,High School,Near
Male,21,KLS,Undergraduate,Data Science,Off-Campus,4-6 times,7-8 hrs,5,2,2,1,3,1,1,1,Nothing ,2,70,Yes,47,8,5.76,1st sem,0.9037,Yes,2.4,0,9,teacher,health,reputation,1,2,0,Mid,Mobile Data,3G,Mobile,Low,Medium,Medium,High,Yes,Medium,Positive,High School,Near
Male,19,KLS,Undergraduate,Data Science,Off-Campus,1-3 times,7-8 hrs,3,5,4,1,3,2,2,4,Sleep,4,98,No,78,0,6.61,1st sem,0.981,No,1,4,3,other,at_home,home,1,2,0,Mid,Mobile Data,3G,Mobile,Low,High,Low,Medium,Yes,Medium,Positive,Postgraduate,Near
Male,20,VDIT,Undergraduate,Computer Science,Off-Campus,4-6 times,7-8 hrs,4,4,4,2,4,2,2,2,Sleep,8,48,No,38,0,6.48,1st sem,0.895,Yes,1.7,1,8,services,other,course,1,2,0,Poor,Mobile Data,3G,Mobile,Low,Medium,Low,Medium,Yes,Low,Neutral,High School,Moderate
Male,20,KLS,Undergraduate,Computer Science,Off-Campus,1-3 times,4-6 hrs,3,4,3,4,1,1,2,1,Social Connections ,7,82,Yes,70,4,8.23,1st sem,0.8453,Yes,3.2,4,9,health,teacher,other,1,2,0,Mid,Wifi,4G,Mobile,Moderate,Medium,Medium,Medium,Yes,High,Negative,Postgraduate,Near
Male,19,VDIT,Undergraduate,Computer Science,Off-Campus,7+ times,7-8 hrs,5,3,4,3,2,4,4,4,Sleep,9,97,Yes,98,5,7.15,1st sem,0.7607,No,4,4,4,services,services,course,4,1,0,Mid,Mobile Data,4G,Mobile,Low,Medium,Medium,Low,Yes,Low,Positive,High School,Moderate
Female,23,VTU,Undergraduate,Computer Science,Off-Campus,No Sports,7-8 hrs,4,3,3,3,3,4,4,3,Social Connections ,8,92,Yes,87,7,8.97,1st sem,0.5434,Yes,1.3,5,9,other,services,reputation,1,2,0,Mid,Mobile Data,3G,Mobile,Moderate,Low,High,High,Yes,Low,Negative,Postgraduate,Far
Male,20,KLS,Undergraduate,Computer Science,Off-Campus,1-3 times,4-6 hrs,3,4,4,5,3,5,5,5,"Gaming , Online Entertainment ",5,64,Yes,49,2,8.57,1st sem,0.9791,Yes,2.2,0,9,teacher,health,home,1,3,0,Mid,Mobile Data,4G,Mobile,Moderate,Medium,High,High,Yes,Low,Neutral,College,Moderate
Male,21,KLS,Undergraduate,Computer Science,On-Campus,No Sports,7-8 hrs,3,3,4,5,3,4,4,4,Religious Activities,2,64,Yes,41,5,5.96,1st sem,0.8792,Yes,3.4,0,1,services,services,reputation,1,2,0,Poor,Wifi,4G,Mobile,Low,Low,High,Medium,No,Medium,Neutral,Postgraduate,Near
Male,20,KLS,Undergraduate,Computer Science,Off-Campus,1-3 times,4-6 hrs,4,5,5,1,5,3,4,1,Sleep,5,88,No,71,2,8.42,1st sem,0.8195,Yes,1.6,0,8,teacher,services,course,3,2,0,Mid,Mobile Data,4G,Mobile,High,Medium,High,Medium,Yes,Medium,Neutral,High School,Near
Male,19,VDIT,Undergraduate,Computer Science,On-Campus,No Sports,4-6 hrs,4,5,5,3,3,2,2,3,Sleep,8,60,No,54,7,9.33,1st sem,0.8795,Yes,2.7,5,5,other,services,reputation,1,4,0,Mid,Mobile Data,3G,Mobile,Moderate,Medium,Medium,Medium,Yes,Low,Negative,Postgraduate,Near
Male,24,VDIT,Undergraduate,Computer Science,On-Campus,7+ times,4-6 hrs,4,5,5,5,4,3,4,2,Sleep,9,48,No,42,3,8.57,1st sem,0.8621,No,3.2,3,8,services,other,course,1,4,0,Mid,Mobile Data,3G,Mobile,Low,Low,High,High,Yes,Medium,Positive,High School,Moderate
Male,20,VDIT,Undergraduate,Computer Science,Off-Campus,4-6 times,7-8 hrs,3,2,4,4,4,1,1,3,Sleep,9,94,No,91,1,7.72,1st sem,0.8186,Yes,2.8,4,5,health,services,reputation,2,2,0,Mid,Wifi,4G,Mobile,Low,Medium,High,Low,No,Low,Negative,High School,Moderate
Male,24,VDIT,Undergraduate,Computer Science,Off-Campus,No Sports,4-6 hrs,4,4,5,4,3,4,4,4,"Gaming , Sleep ",1,87,Yes,61,8,9.01,1st sem,0.9903,No,1.6,5,2,other,other,reputation,2,4,0,Mid,Mobile Data,4G,Mobile,Moderate,Medium,Medium,Medium,Yes,Low,Negative,College,Near
Male,24,KLS,Undergraduate,Computer Science,Off-Campus,7+ times,7-8 hrs,4,2,3,4,2,3,3,4,Social Connections ,9,77,No,74,9,5.48,1st sem,0.9517,No,2.1,2,9,other,other,reputation,2,4,0,Poor,Mobile Data,3G,Mobile,Low,Medium,Low,Medium,No,Medium,Positive,College,Near
Female,24,KLS,Undergraduate,Computer Science,Off-Campus,No Sports,4-6 hrs,5,4,5,4,1,4,5,5,Social Connections ,7,61,Yes,54,7,8.95,1st sem,0.8233,Yes,3.4,1,5,other,other,course,1,4,0,Mid,Mobile Data,4G,Mobile,Low,Medium,Low,Medium,Yes,Low,Positive,High School,Moderate
Female,20,KLS,Undergraduate,Computer Science,On-Campus,No Sports,4-6 hrs,3,5,5,3,3,5,5,3,Sleep,9,82,Yes,81,5,6.63,1st sem,0.8466,No,2.7,3,9,other,other,reputation,1,2,0,Mid,Mobile Data,4G,Mobile,Low,Medium,Medium,Medium,Yes,Low,Neutral,College,Near
Male,20,VTU,Undergraduate,Data Science,Off-Campus,7+ times,7-8 hrs,5,3,3,2,4,1,1,2,"Gaming , Online Entertainment ",8,62,Yes,52,2,9.54,1st sem,0.5258,Yes,1,2,9,other,other,reputation,1,1,0,Poor,Mobile Data,3G,Mobile,Low,Low,Medium,Medium,Yes,Medium,Negative,Postgraduate,Near
Male,21,KLS,Undergraduate,Data Science,Off-Campus,1-3 times,7-8 hrs,5,5,1,5,1,5,5,3,Social Connections ,1,88,Yes,65,1,5.94,1st sem,0.835,No,3.3,4,5,other,services,home,1,2,0,Mid,Mobile Data,4G,Mobile,Moderate,High,High,High,Yes,Medium,Positive,College,Moderate
Female,21,VTU,Undergraduate,Computer Science,Off-Campus,No Sports,4-6 hrs,3,5,5,5,3,4,3,3,Sleep,8,43,Yes,36,3,8.06,1st sem,0.5221,No,1.1,0,10,teacher,other,home,1,2,0,Mid,Mobile Data,2G,Mobile,Low,Medium,Medium,Medium,Yes,Medium,Positive,Postgraduate,Near
Male,19,VDIT,Undergraduate,Information Technology,Off-Campus,4-6 times,4-6 hrs,5,3,3,3,4,2,2,2,Nothing ,8,68,No,61,3,9.19,1st sem,0.7941,Yes,3.2,4,4,teacher,other,course,2,4,0,Mid,Mobile Data,3G,Mobile,Moderate,Low,Medium,Medium,Yes,Medium,Neutral,Postgraduate,Moderate
Male,23,KLS,Undergraduate,Information Technology,Off-Campus,No Sports,4-6 hrs,5,4,2,5,1,5,5,5,"Gaming , Sleep ",3,54,Yes,35,0,9.62,1st sem,0.9997,Yes,1.6,5,10,other,other,reputation,1,4,0,Mid,Mobile Data,4G,Mobile,Low,High,Low,Medium,Yes,Medium,Neutral,High School,Moderate
